"city","population","country","lat","lng"
"Coronel",92940,"Chile",-37.0339,-73.1402
"Patos",92575,"Brazil",-7.02444,-37.28
"Villa Maria",92453,"Argentina",-32.4075,-63.2402
"Riohacha",92431,"Colombia",11.5444,-72.9072
"Duitama",92040,"Colombia",5.8245,-73.0341
"Timoteo",91722,"Brazil",-19.5811,-42.6495
"Zipaquira",91235,"Colombia",5.02208,-74.0048
"Muriae",91173,"Brazil",-21.1306,-42.3664
"Cambe",91080,"Brazil",-23.2758,-51.2783
"Bayeux",91056,"Brazil",-7.125,-34.9322
"Bento Goncalves",90852,"Brazil",-29.1714,-51.5192
